********************************************************************************
product = Open Liberty 26.0.0.7 (wlp-1.0.115.cl260720260702-0043)
wlp.install.dir = /home/matias/POO/SimuladorPresupuestoJSF/target/liberty/wlp/
java.home = /usr/lib/jvm/java-21-openjdk
java.version = 21.0.11
java.runtime = OpenJDK Runtime Environment (21.0.11+10)
os = Linux (7.1.4-1-cachyos; amd64) (es_EC)
process = 11441@cachyos
Classpath = /home/matias/POO/SimuladorPresupuestoJSF/target/liberty/wlp/bin/tools/ws-server.jar
Java Library path = /usr/java/packages/lib:/usr/lib64:/lib64:/lib:/usr/lib
********************************************************************************
[27/7/26, 00:24:39:668 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.INITIALIZE_ALWAYS_STANDALONE' found, using default value 'false'.
[27/7/26, 00:24:39:668 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.EXPRESSION_FACTORY' found.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CHECK_ID_PRODUCTION_MODE' found, using default value 'auto'.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.MARK_INITIAL_STATE_WHEN_APPLY_BUILD_VIEW' found, using default value 'false'.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CACHE_EL_EXPRESSIONS' found, using default value 'noCache'.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.WRAP_TAG_EXCEPTIONS_AS_CONTEXT_AWARE' found, using default value 'true'.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.RESOURCE_CACHE_LAST_MODIFIED' found, using default value 'true'.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.LOG_WEB_CONTEXT_PARAMS' found, using default value 'dev-only'.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.FACES_INITIALIZER' found.
[27/7/26, 00:24:39:669 ECT] 0000003b org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.spi.InjectionProvider' found.
